Wavelength_(microns);Solar_Flux_(W/m^2/micron)
3.315;1.72E+01
3.325;1.70E+01
3.335;1.68E+01
3.345;1.66E+01
3.355;1.65E+01
3.365;1.63E+01
3.375;1.61E+01
3.385;1.59E+01
3.395;1.58E+01
3.405;1.56E+01
3.415;1.54E+01
3.425;1.53E+01
3.435;1.51E+01
3.445;1.49E+01
3.455;1.48E+01
3.465;1.46E+01
3.475;1.45E+01
3.485;1.43E+01
3.495;1.42E+01
3.505;1.40E+01
3.515;1.39E+01
3.525;1.37E+01
3.535;1.36E+01
3.545;1.34E+01
3.555;1.33E+01
3.565;1.32E+01
3.575;1.30E+01
3.585;1.29E+01
3.595;1.28E+01
3.605;1.26E+01
3.615;1.25E+01
3.625;1.24E+01
3.635;1.23E+01
3.645;1.21E+01
3.655;1.20E+01
3.665;1.19E+01
3.675;1.18E+01
3.685;1.17E+01
3.695;1.15E+01
3.705;1.14E+01
3.715;1.13E+01
3.725;1.12E+01
3.735;1.11E+01
3.745;1.10E+01
3.755;1.09E+01
3.765;1.08E+01
3.775;1.07E+01
3.785;1.06E+01
3.795;1.05E+01
3.805;1.04E+01
3.815;1.03E+01
3.825;1.02E+01
3.835;1.01E+01
3.845;9.97E+00
3.855;9.88E+00
3.865;9.78E+00
3.875;9.69E+00
3.885;9.59E+00
3.895;9.50E+00
3.905;9.42E+00
3.915;9.33E+00
3.925;9.24E+00
3.935;9.15E+00
3.945;9.08E+00
3.955;8.99E+00
3.965;8.90E+00
3.975;8.82E+00
3.985;8.74E+00
3.995;8.66E+00
4.005;8.60E+00
